ACO000036241;ACOS00037461;22061602101                   ;17 Jun 2022 09:05;SRBGK01 ;Input;Penjualan Kredit;000224;AFUI;PK.BALAM / BLKG AJAU;GT;PROVISION LARGE STORE;  ;;;PS41094;PASEO BABY WPES GZTE JOJOBA 18X50S BOGOF;UNIVENUS;12;0;14.000,00;168.000,00;151.200,00;167.832,00;0,00;0,00;0,00;10,00;0,00;0,00;16.800,00;0,00;;;
ACO000036241;ACOS00037461;22061602101                   ;17 Jun 2022 09:05;SRBGK01 ;Input;Penjualan Kredit;000224;AFUI;PK.BALAM / BLKG AJAU;GT;PROVISION LARGE STORE;  ;;;NC24399B;NICE FACIAL SOFT PACK 36X250S GT RE-SPEC;UNIVENUS;36;0;7.636,37;274.909,32;274.909,32;305.149,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036242;ACOS00037463;22061602301                   ;17 Jun 2022 09:06;SRBGK01 ;Input;Penjualan Kredit;000226;N MART;JL.R.HUNDANI GABEK II RT.005;GT;PROVISION SMALL STORE;  ;;;NC74035;NC FCL KILOAN 900GR X 20 GT;UNIVENUS;5;0;30.630,63;153.153,15;153.153,15;170.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036243;ACOS00037465;22061602501                   ;17 Jun 2022 09:06;SRBGK01 ;Input;Penjualan Kredit;001683;HERMAN;JL. YOS SUDARSO;GT;PROVISION SMALL STORE;  ;;;PS31229;PASEO SMART FACIAL TRAVEL PACK 50'S GT;UNIVENUS;80;0;1.680,00;134.400,00;134.400,00;149.184,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036244;ACOS00037467;22061620201                   ;17 Jun 2022 09:06;SRBGK01 ;Input;Penjualan Kredit;000679;ANANDI;LEMBAWAI SEBELAH TK. ABONG;GT;PROVISION SMALL STORE;  ;;;NC74035;NC FCL KILOAN 900GR X 20 GT;UNIVENUS;4;0;30.630,63;122.522,52;122.522,52;136.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036244;ACOS00037467;22061620201                   ;17 Jun 2022 09:06;SRBGK01 ;Input;Penjualan Kredit;000679;ANANDI;LEMBAWAI SEBELAH TK. ABONG;GT;PROVISION SMALL STORE;  ;;;PS21213B;PS SMRT FCL SOFT PACK 48X250S GT;UNIVENUS;5;0;8.818,19;44.090,95;44.090,95;48.940,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036247;ACOS00037451;;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;PRODUK DKT;MD01-08003;SUTRA PLUS 40X24X3S;DKT SUTRA;3;0;7.047,00;21.141,00;21.141,00;23.466,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036247;ACOS00037451;;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;PRODUK DKT;MD01-07003;SUTRA GERIGI 50X24X3S;DKT SUTRA;3;0;7.325,64;21.976,92;21.976,92;24.394,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036247;ACOS00037451;;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;PRODUK DKT;MD01-02003;SUTRA OK 50X24X3S;DKT SUTRA;3;0;7.325,64;21.976,92;21.976,92;24.394,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036247;ACOS00037451;;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;PRODUK DKT;MD01-01003;SUTRA CLASSIC 50X24X3S;DKT SUTRA;3;0;5.007,18;15.021,54;15.021,54;16.673,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036248;ACOS00037466;22061603002                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;;PS41179;PASEO BABY WIPES PURITY GAZETTE 24X80'S;UNIVENUS;6;0;12.727,27;76.363,62;76.363,62;84.763,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036248;ACOS00037466;22061603002                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;;NC34114;NC FCL TRAVEL PACK 60s X 96;UNIVENUS;46;0;3.003,64;138.167,44;138.167,44;153.365,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036248;ACOS00037466;22061603002                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;;PS31090;PS CHAR FCL TRAVEL PACK 70s X 48;UNIVENUS;30;0;4.181,82;125.454,60;125.454,60;139.254,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036248;ACOS00037466;22061603002                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000005;CV MM ACING JAYA (R1 OPAS);JL.KAMPUNG OPAS SEBLUM ACING;GT;WHOLESALE;  ;;;PS11208B;PS ELG TWL CALORIE ABSORB 1 ROLL 18X70S;UNIVENUS;12;0;10.518,18;126.218,16;126.218,16;140.102,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036249;ACOS00037453;22061600402                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000244;ALGI FARMA / IBU DESI;JL.STANIA / BUKIT BARU NO.01;GT;PROVISION SMALL STORE;  ;;;PS21213B;PS SMRT FCL SOFT PACK 48X250S GT;UNIVENUS;12;0;8.818,19;105.818,28;105.818,28;117.458,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
ACO000036249;ACOS00037453;22061600402                   ;17 Jun 2022 09:13;SRBGK02 ;Input;Penjualan Kredit;000244;ALGI FARMA / IBU DESI;JL.STANIA / BUKIT BARU NO.01;GT;PROVISION SMALL STORE;  ;;;NC24399B;NICE FACIAL SOFT PACK 36X250S GT RE-SPEC;UNIVENUS;15;0;7.636,37;114.545,55;114.545,55;127.145,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
